seed_index	world_seed	mode	subject	run	reducer	Mphase	n_pairs_total	n_pairs_finite	pair_corrected_skewness	pair_positive_fraction	pair_zero_count
3	20860830	benchmark	CS51	R1	median	-0.000358738184521545	14	14	0.599973534679462	0.428571428571429	0
3	20860830	benchmark	CS51	R1	mean	-3.81770807461213e-05	14	14	0.599973534679462	0.428571428571429	0
3	20860830	benchmark	CS51	R2	median	-0.000112791350498862	12	12	1.50658719020188	0.5	0
3	20860830	benchmark	CS51	R2	mean	0.000141496695030384	12	12	1.50658719020188	0.5	0
3	20860830	benchmark	CS53	R1	median	0.000166485807637344	12	12	-0.0821187230743244	0.5	0
3	20860830	benchmark	CS53	R1	mean	0.000194669988537157	12	12	-0.0821187230743244	0.5	0
3	20860830	benchmark	CS53	R2	median	-0.000635857331055155	8	8	-0.0442762184868557	0.25	0
3	20860830	benchmark	CS53	R2	mean	-0.000628825741315301	8	8	-0.0442762184868557	0.25	0
3	20860830	benchmark	CS54	R1	median	-0.000356291179366537	7	7	-0.989213971804728	0.142857142857143	0
3	20860830	benchmark	CS54	R1	mean	-0.000642523794131996	7	7	-0.989213971804728	0.142857142857143	0
3	20860830	benchmark	CS54	R2	median	-0.000430565745095551	7	7	0.517203494608388	0.285714285714286	0
3	20860830	benchmark	CS54	R2	mean	-0.000267813479006368	7	7	0.517203494608388	0.285714285714286	0
3	20860830	benchmark	CS55	R1	median	5.99351743032489e-06	14	14	0.133547814560799	0.5	0
3	20860830	benchmark	CS55	R1	mean	-1.01827691620357e-05	14	14	0.133547814560799	0.5	0
3	20860830	benchmark	CS55	R2	median	-0.000287921715586425	14	14	1.85965662644228	0.428571428571429	0
3	20860830	benchmark	CS55	R2	mean	0.000639572403693181	14	14	1.85965662644228	0.428571428571429	0
3	20860830	benchmark	CS56	R1	median	0.000329560103345166	12	12	0.0620120104275889	0.583333333333333	0
3	20860830	benchmark	CS56	R1	mean	9.71611642028093e-05	12	12	0.0620120104275889	0.583333333333333	0
3	20860830	benchmark	CS56	R2	median	-0.00037026703483745	12	12	0.337581559050407	0.5	0
3	20860830	benchmark	CS56	R2	mean	-0.000188005873873923	12	12	0.337581559050407	0.5	0
3	20860830	benchmark	CS57	R1	median	0.000438986373405738	12	12	0.059291215287963	0.666666666666667	0
3	20860830	benchmark	CS57	R1	mean	0.000413137980367887	12	12	0.059291215287963	0.666666666666667	0
3	20860830	benchmark	CS57	R2	median	0.000176896962890916	12	12	-0.0131763903399703	0.583333333333333	0
3	20860830	benchmark	CS57	R2	mean	-5.34062672961259e-05	12	12	-0.0131763903399703	0.583333333333333	0
3	20860830	benchmark	CS58	R1	median	-3.81121332402271e-05	7	7	0.657645888480404	0.428571428571429	0
3	20860830	benchmark	CS58	R1	mean	7.78512200761492e-06	7	7	0.657645888480404	0.428571428571429	0
3	20860830	benchmark	CS60	R1	median	-2.43846660828943e-05	14	14	0.682491453797088	0.5	0
3	20860830	benchmark	CS60	R1	mean	0.000371274351954132	14	14	0.682491453797088	0.5	0
3	20860830	benchmark	CS62	R1	median	-0.000628188647356334	7	7	0.710568026043619	0.285714285714286	0
3	20860830	benchmark	CS62	R1	mean	-0.000445429039163567	7	7	0.710568026043619	0.285714285714286	0
3	20860830	benchmark	CS62	R2	median	-0.00058406285629911	7	7	0.394062872277	0.285714285714286	0
3	20860830	benchmark	CS62	R2	mean	-0.00038295783133668	7	7	0.394062872277	0.285714285714286	0
4	20860831	benchmark	CS41	R1	median	0.000947190903942528	14	14	0.193516627437719	0.714285714285714	0
4	20860831	benchmark	CS41	R1	mean	0.000905711898986857	14	14	0.193516627437719	0.714285714285714	0
4	20860831	benchmark	CS41	R2	median	-0.000445548191998857	14	14	1.03348362546567	0.428571428571429	0
4	20860831	benchmark	CS41	R2	mean	-6.32064023611699e-06	14	14	1.03348362546567	0.428571428571429	0
4	20860831	benchmark	CS42	R1	median	-0.000132707205182873	14	14	1.41127594349504	0.428571428571429	0
4	20860831	benchmark	CS42	R1	mean	1.66742731699867e-05	14	14	1.41127594349504	0.428571428571429	0
4	20860831	benchmark	CS42	R2	median	0.00019270902991226	14	14	1.49929671432929	0.642857142857143	0
4	20860831	benchmark	CS42	R2	mean	0.000847583326019444	14	14	1.49929671432929	0.642857142857143	0
4	20860831	benchmark	CS43	R1	median	-0.000765182354535004	14	14	0.710153902092765	0.285714285714286	0
4	20860831	benchmark	CS43	R1	mean	-0.000412461574147474	14	14	0.710153902092765	0.285714285714286	0
4	20860831	benchmark	CS43	R2	median	-0.000725347687632698	14	14	0.698412380544973	0.428571428571429	0
4	20860831	benchmark	CS43	R2	mean	-0.000310251354457952	14	14	0.698412380544973	0.428571428571429	0
4	20860831	benchmark	CS44	R1	median	-0.000549526031527479	14	14	0.625472041928464	0.357142857142857	0
4	20860831	benchmark	CS44	R1	mean	-0.000329493714819605	14	14	0.625472041928464	0.357142857142857	0
4	20860831	benchmark	CS47	R1	median	-1.84523344542823e-05	14	14	0.742077039041842	0.5	0
4	20860831	benchmark	CS47	R1	mean	-5.73519866424089e-06	14	14	0.742077039041842	0.5	0
4	20860831	benchmark	CS47	R2	median	-5.41172323063428e-05	14	14	0.622224846834	0.428571428571429	0
4	20860831	benchmark	CS47	R2	mean	6.3276055776961e-05	14	14	0.622224846834	0.428571428571429	0
4	20860831	benchmark	CS48	R1	median	-0.000428167476139213	14	14	0.813700672248539	0.285714285714286	0
4	20860831	benchmark	CS48	R1	mean	5.36376681586764e-05	14	14	0.813700672248539	0.285714285714286	0
4	20860831	benchmark	CS48	R2	median	-0.000366737896538213	14	14	1.10725930569701	0.357142857142857	0
4	20860831	benchmark	CS48	R2	mean	-0.000131841571019664	14	14	1.10725930569701	0.357142857142857	0
