seed_index	world_seed	mode	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction
29	20860856	benchmark	median	R1	16	-0.000251600082525759	0.00262451171875	9.10295768318039e-05	0.0876455311582243	2	14	0	0.125
29	20860856	benchmark	median	R2	13	-0.000303069547990121	0.0029296875	0.000120645148860554	-0.852370085399329	2	11	0	0.153846153846154
29	20860856	benchmark	mean	R1	16	-2.44520237516232e-05	0.68499755859375	5.65345778199415e-05	-0.451946777323884	8	8	0	0.5
29	20860856	benchmark	mean	R2	13	-0.000155391520875317	0.1640625	0.000109828254149046	-0.257167595846525	5	8	0	0.384615384615385
30	20860857	benchmark	median	R1	16	-0.000190086381738947	0.054656982421875	0.00010008840717431	0.423712777065247	5	11	0	0.3125
30	20860857	benchmark	median	R2	13	-8.80433407729535e-05	0.518798828125	0.000124834765849013	-0.5373484983103	5	8	0	0.384615384615385
30	20860857	benchmark	mean	R1	16	-8.06159689006738e-06	0.934600830078125	9.37492659670864e-05	-0.308137619382317	8	8	0	0.5
30	20860857	benchmark	mean	R2	13	1.99229349360939e-06	0.98583984375	9.54674785987928e-05	-1.51474221447883	7	6	0	0.538461538461538
31	20860858	benchmark	median	R1	16	-0.000220478547330221	0.1026611328125	0.00013453268990619	0.371350456379317	4	12	0	0.25
31	20860858	benchmark	median	R2	13	-6.0480994405209e-05	0.591796875	0.000107214481606122	0.76940602524693	5	8	0	0.384615384615385
31	20860858	benchmark	mean	R1	16	-9.4813571709387e-05	0.343536376953125	9.7533734283601e-05	0.770037968471034	5	11	0	0.3125
31	20860858	benchmark	mean	R2	13	2.00666665919542e-05	0.8525390625	0.000101973582922249	0.00515871973754314	7	6	0	0.538461538461538
32	20860859	benchmark	median	R1	16	-0.000242309120703419	0.039581298828125	0.000118650432763447	0.812352195662655	4	12	0	0.25
32	20860859	benchmark	median	R2	13	-0.000288542877280094	0.014404296875	0.000125946503281057	-0.227157794096703	3	10	0	0.230769230769231
32	20860859	benchmark	mean	R1	16	-3.69888177396051e-05	0.741790771484375	0.000105990442203977	1.41387281023058	4	12	0	0.25
32	20860859	benchmark	mean	R2	13	-0.000178446213379103	0.171875	0.000128248294492881	0.446946165077975	3	10	0	0.230769230769231
33	20860860	benchmark	median	R1	16	-0.00032854620375307	0.001556396484375	0.00011650632117044	-0.337591060888076	2	14	0	0.125
33	20860860	benchmark	median	R2	13	-7.2112369171121e-05	0.522216796875	0.000109206726950605	0.0998547836335858	5	8	0	0.384615384615385
33	20860860	benchmark	mean	R1	16	-0.000239631726640136	0.02630615234375	0.000110508436952318	0.529690229758037	3	13	0	0.1875
33	20860860	benchmark	mean	R2	13	0.000119832266050475	0.122802734375	7.7009673074788e-05	0.0373376703755616	7	6	0	0.538461538461538
34	20860861	benchmark	median	R1	16	-0.000169676655776748	0.1640625	0.000120742236313885	0.366664752851543	6	10	0	0.375
34	20860861	benchmark	median	R2	13	-2.4977866156049e-05	0.880859375	0.00016169826564038	0.131609362902698	6	7	0	0.461538461538462
34	20860861	benchmark	mean	R1	16	1.82082944217361e-05	0.83709716796875	8.57407069380914e-05	0.35166499422817	8	8	0	0.5
34	20860861	benchmark	mean	R2	13	4.23327919045126e-05	0.795166015625	0.000150694106168038	0.390506461372421	6	7	0	0.461538461538462
35	20860862	benchmark	median	R1	16	-0.000178071284683887	0.089080810546875	0.000104493954485844	1.12829732029199	4	12	0	0.25
35	20860862	benchmark	median	R2	13	-0.000202658401066442	0.147216796875	0.000138558006283427	0.714635600833744	4	9	0	0.307692307692308
35	20860862	benchmark	mean	R1	16	-6.47520685937446e-05	0.405426025390625	7.56800699492489e-05	0.260053066102961	8	8	0	0.5
35	20860862	benchmark	mean	R2	13	-8.22440391353012e-05	0.489501953125	0.000113372371805961	0.468636794390767	6	7	0	0.461538461538462
