cell_id	seed_index	world_seed	checkpoint_sha256	run	observed_slope	p_two_sided	reject_alpha_0_05	elapsed_s	peak_memory_bytes	mask_sha256
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R2	-0.0019029699315378373	0.345458984375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R1	-0.0003350531616797538	0.80316162109375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R2	-0.0019029699315378373	0.345458984375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R1	-0.0003350531616797538	0.80316162109375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R2	-0.0019029699315378373	0.345458984375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R1	-0.0003350531616797538	0.80316162109375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R1	-0.0003350531616797538	0.80316162109375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R2	-0.0019029699315378373	0.345458984375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R1	-0.0003350531616797538	0.80316162109375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R2	-0.0019029699315378373	0.345458984375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
P01	4	91401004.0	DF1AC921AA841CED637E6ADD1D87EEA531C06DBEE800C9670B71EB4815586111	R1	-0.0003350531616797538	0.80316162109375	0	343.3049823	3176706048.0	E0AA72653884692516A21094F23334842B35860EE71E2475E26B00D0C4B07E8A
