checkpoint	arm	metrics
P02/32	Mpower	 [Mpower p=0.248779 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.248779 dcount=0] [Mpower p=0.866211 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.866211 dcount=0]
P02/33	Mpower	 [Mpower p=0.615112 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.615112 dcount=0] [Mpower p=0.0576172 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0576172 dcount=0]
P02/34	Mpower	 [Mpower p=0.342102 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.342102 dcount=0] [Mpower p=0.301514 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.301514 dcount=0]
P02/35	Mpower	 [Mpower p=0.23056 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.23056 dcount=0] [Mpower p=0.115479 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.115479 dcount=0]
P02/36	Mpower	 [Mpower p=0.216461 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.216461 dcount=0] [Mpower p=0.504639 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.504639 dcount=0]
P02/37	Mpower	 [Mpower p=0.300598 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.300598 dcount=0] [Mpower p=0.475586 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.475586 dcount=0]
P02/38	Mpower	 [Mpower p=0.642517 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.642517 dcount=0] [Mpower p=0.837646 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.837646 dcount=0]
P02/39	Mpower	 [Mpower p=0.769043 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.769043 dcount=0] [Mpower p=0.262695 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.262695 dcount=0]
P02/40	Mpower	 [Mpower p=0.345184 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.345184 dcount=0] [Mpower p=0.874268 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.874268 dcount=0]
P02/41	Mpower	 [Mpower p=0.882538 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.882538 dcount=0] [Mpower p=0.451904 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.451904 dcount=0]
P02/42	Mpower	 [Mpower p=0.569458 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.569458 dcount=0] [Mpower p=0.486084 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.486084 dcount=0]
P02/43	Mpower	 [Mpower p=0.585571 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.585571 dcount=0] [Mpower p=0.0554199 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0554199 dcount=0]
P02/44	Mpower	 [Mpower p=0.00177002 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.00177002 dcount=0] [Mpower p=0.387695 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.387695 dcount=0]
P02/45	Mpower	 [Mpower p=0.461792 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.461792 dcount=0] [Mpower p=0.401611 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.401611 dcount=0]
P02/46	Mpower	 [Mpower p=0.125305 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.125305 dcount=0] [Mpower p=0.15332 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.15332 dcount=0]
P02/47	Mpower	 [Mpower p=0.251251 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.251251 dcount=0] [Mpower p=0.598145 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.598145 dcount=0]
P02/48	Mpower	 [Mpower p=0.451691 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.451691 dcount=0] [Mpower p=0.775146 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.775146 dcount=0]
P02/49	Mpower	 [Mpower p=0.484863 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.484863 dcount=0] [Mpower p=0.506592 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.506592 dcount=0]
P02/50	Mpower	 [Mpower p=0.390686 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.390686 dcount=0] [Mpower p=0.868408 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.868408 dcount=0]
P02/51	Mpower	 [Mpower p=0.502563 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.502563 dcount=0] [Mpower p=0.956299 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.956299 dcount=0]
P02/52	Mpower	 [Mpower p=0.502441 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.502441 dcount=0] [Mpower p=0.759521 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.759521 dcount=0]
P02/53	Mpower	 [Mpower p=0.40686 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.40686 dcount=0] [Mpower p=0.296875 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.296875 dcount=0]
P02/54	Mpower	 [Mpower p=0.333832 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.333832 dcount=0] [Mpower p=0.240479 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.240479 dcount=0]
P02/55	Mpower	 [Mpower p=0.269745 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.269745 dcount=0] [Mpower p=0.791016 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.791016 dcount=0]
P02/56	Mpower	 [Mpower p=0.946747 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.946747 dcount=0] [Mpower p=0.575439 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.575439 dcount=0]
P02/57	Mpower	 [Mpower p=0.727448 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.727448 dcount=0] [Mpower p=0.0134277 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.0134277 dcount=0]
P02/58	Mpower	 [Mpower p=0.903595 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.903595 dcount=0] [Mpower p=0.577393 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.577393 dcount=0]
P02/59	Mpower	 [Mpower p=0.981842 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.981842 dcount=0] [Mpower p=0.677734 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.677734 dcount=0]
P02/60	Mpower	 [Mpower p=0.554504 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.554504 dcount=0] [Mpower p=0.407959 dcount=0] [Mphase p=1 dcount=0] [maxT p=0.407959 dcount=0]
