cell_id	seed_index	world_seed	checkpoint_sha256	run	subject_mean	subject_sample_sd	subject_MAD_about_median	subject_skewness_bias_corrected	subject_excess_kurtosis_bias_corrected	subject_max_abs_over_rms	orbit_n	orbit_mean	orbit_sample_sd	orbit_q0_5	orbit_q2_5	orbit_q25	orbit_q50	orbit_q75	orbit_q97_5	orbit_q99_5	orbit_skewness_bias_corrected	orbit_excess_kurtosis_bias_corrected	observed	studentization_sd	observed_standardized_score	p_two_sided	p_maxstat
M01	11	20360838.0	21E9A079122B4C8BE242D4BFEF7CDCF0809642F2F1CFB0BA316186129A3162BD	R1	-0.00021833017470852622	0.0004896698396027906	0.0002839999218818889	0.38138150622318306	-0.35191048459858276	2.0746780877076723	65536	6.437450399132683e-20	0.00013049490889681658	-0.00032102924673764916	-0.0002527836111532364	-9.053270675876288e-05	0	9.053270675876288e-05	0.0002527836111532364	0.0003210292467376489	-3.3626471489218425e-15	-0.26185691702324965	-0.00021833017470852622	0.00013049490889681658	-1.6730934298836266	0.094757080078125	0.094757080078125
M01	11	20360838.0	21E9A079122B4C8BE242D4BFEF7CDCF0809642F2F1CFB0BA316186129A3162BD	R2	-0.0003266556411159951	0.00032351501527228937	0.0001018297155893145	-1.254613313171138	2.6608845718965224	2.5384226655756432	8192	5.082197683525802e-21	0.0001250660669518655	-0.00028453404045169925	-0.0002348212999969882	-9.260570437646857e-05	0	9.260570437646857e-05	0.00023482129999698824	0.00028453404045169936	-5.163580896717317e-16	-0.5834000133148827	-0.0003266556411159951	0.0001250660669518655	-2.611864665430919	0.001220703125	0.001220703125
M01	12	20360839.0	0C14B9B78F730D728CA66F8BEEF2CF85BE1F5C55AF0DD2AECC1F29DF63DD7EDF	R1	-0.0001874984866460317	0.00040273654756832716	0.0002512485049256176	-0.37845420416635456	-1.1453623256090781	1.9222973975374342	65536	-9.317362419797304e-21	0.00010817172994237706	-0.00026219426113579386	-0.00020880284540185533	-7.573756528627746e-05	0	7.573756528627746e-05	0.00020880284540185533	0.00026219426113579375	5.185639416891592e-16	-0.3238453293252026	-0.0001874984866460317	0.00010817172994237706	-1.7333409269308342	0.0841064453125	0.0841064453125
M01	12	20360839.0	0C14B9B78F730D728CA66F8BEEF2CF85BE1F5C55AF0DD2AECC1F29DF63DD7EDF	R2	-7.779410896894196e-05	0.00041897423122708416	0.0002587984541891046	0.3834934096392189	0.16949936605384242	1.9024859619803647	8192	1.6940658945086007e-20	0.00011371652327497455	-0.0002722877742819604	-0.00021895722769483698	-8.02726909243487e-05	0	8.02726909243487e-05	0.00021895722769483682	0.00027228777428196045	-7.555990934070839e-16	-0.377905731770392	-7.779410896894196e-05	0.00011371652327497455	-0.6841055875479972	0.513427734375	0.513427734375
M01	13	20360840.0	02217D58B7AF96D687830824D864C47AA688C5070B010279EB68298BB35D05B5	R1	-0.000272801912946993	0.0003961064783350077	0.00016884266899935835	-0.020296558060848187	-0.036367545533074974	2.169443594523948	65536	6.437450399132683e-20	0.00011766433577178791	-0.0002852460864950072	-0.00022734556048522453	-8.249698529893306e-05	0	8.249698529893306e-05	0.00022734556048522453	0.0002852460864950069	1.2397260786998338e-15	-0.32870798048894434	-0.000272801912946993	0.00011766433577178791	-2.318475782467316	0.014801025390625	0.014801025390625
M01	13	20360840.0	02217D58B7AF96D687830824D864C47AA688C5070B010279EB68298BB35D05B5	R2	-0.00020233610485525453	0.0003155337734455089	0.00018866856531380498	0.22319616350650395	-0.09794811721424335	1.9436904333650273	8192	-1.2705494208814505e-20	0.00010109367246342315	-0.0002446988431540204	-0.00019559784611792677	-7.113831704297198e-05	0	7.113831704297198e-05	0.0001955978461179267	0.00024469884315402046	-3.6663068460767437e-17	-0.3568797193822357	-0.00020233610485525453	0.00010109367246342315	-2.001471505830022	0.040283203125	0.040283203125
M01	14	20360841.0	F66D30D847EFB435462CBFD4F471241B6B6E3509DF360ED45B9D595EAD797D66	R1	-0.00019939262227020626	0.00023735297832431582	0.0001216015647138733	-0.43955709477546173	0.3411717996014181	2.288444861005195	65536	-9.147955830346444e-20	7.606503772925197e-05	-0.00018190854955967188	-0.0001465861753605299	-5.3733459777312586e-05	0	5.3733459777312586e-05	0.0001465861753605299	0.0001819085495596718	3.441646714750503e-15	-0.3804638531337914	-0.00019939262227020626	7.606503772925197e-05	-2.6213438949432977	0.003265380859375	0.003265380859375
M01	14	20360841.0	F66D30D847EFB435462CBFD4F471241B6B6E3509DF360ED45B9D595EAD797D66	R2	-0.0003686760765771256	0.0005634679343463495	0.0002585396470359901	0.3355190283922339	0.4756717785914213	2.0734602437294107	8192	1.3552527156068805e-20	0.00018166913258510535	-0.0004405664136449432	-0.00035137052301913944	-0.00012778708747606348	0	0.00012778708747606348	0.0003513705230191393	0.0004405664136449432	-5.391082940907611e-16	-0.36393466323723	-0.0003686760765771256	0.00018166913258510535	-2.0293820492835475	0.037841796875	0.037841796875
M01	15	20360842.0	D39F084658DD75E6DE456F8222E15AD4FA1691A70A38B9812AF60E2F4AD1AE46	R1	-3.280166809532142e-05	0.00034576834628601146	0.00015105002053803613	0.5189037421539697	-0.13191311125484173	1.899016560605197	65536	-2.202285662861181e-20	8.409859953319251e-05	-0.00020678031605890368	-0.00016355610938728285	-5.813197897316469e-05	0	5.813197897316469e-05	0.00016355610938728285	0.0002067803160589036	-2.5890106476468028e-15	-0.2975423793801566	-3.280166809532142e-05	8.409859953319251e-05	-0.39003822034367025	0.70782470703125	0.70782470703125
M01	15	20360842.0	D39F084658DD75E6DE456F8222E15AD4FA1691A70A38B9812AF60E2F4AD1AE46	R2	-0.0003116917809040304	0.0004631024977838843	0.00036130109821101453	-0.02111751373857448	-0.652435459447362	2.122148120958479	8192	4.235164736271502e-21	0.00015067910233777283	-0.00036241737604000856	-0.0002895794761828966	-0.00010688261931367728	0	0.00010688261931367728	0.0002895794761828965	0.00036241737604000856	5.167118704654864e-16	-0.3720542275614487	-0.0003116917809040304	0.00015067910233777283	-2.068580022499207	0.0322265625	0.0322265625
