cell_id	seed_index	world_seed	checkpoint_sha256	run	observed	p_two_sided	p_maxstat
M01	23	20360850.0	949C249B37515A3AD7BBD7EAC5B53E0F0D1E4FE360054F947BC777E667A527B5	R2	-0.00014682603276819952	0.1005859375	0.1005859375
M01	24	20360851.0	6DD2181CF832E8032B82602B5D5599F196C29D8CD483DC44BC85C62247BC82DF	R1	-0.0002267910062925952	0.0341796875	0.0341796875
M01	24	20360851.0	6DD2181CF832E8032B82602B5D5599F196C29D8CD483DC44BC85C62247BC82DF	R2	-0.00016308321634576946	0.233642578125	0.233642578125
M01	25	20360852.0	C7AE534EB2821FC3FA7DA6B265E563F1E3F14B7CF82969E84E57C3E81263AC32	R1	-0.00017098718798749771	0.0526123046875	0.0526123046875
M01	25	20360852.0	C7AE534EB2821FC3FA7DA6B265E563F1E3F14B7CF82969E84E57C3E81263AC32	R2	-0.00026650844062838175	0.0244140625	0.0244140625
M01	26	20360853.0	7A5FDB114BB94D2FF44DB5718C21C0C55A38258D73B37824E623B12E5CBAB5BA	R1	-0.0002786617412403491	0.043701171875	0.043701171875
M01	26	20360853.0	7A5FDB114BB94D2FF44DB5718C21C0C55A38258D73B37824E623B12E5CBAB5BA	R2	-8.516711379184474e-05	0.442138671875	0.442138671875
M01	27	20360854.0	0F2141AB03E47DBF36E5B7C35E254BF93FB68373BD54AB4B0B24F51196DC3F71	R1	-8.104621359005928e-05	0.412933349609375	0.412933349609375
M01	27	20360854.0	0F2141AB03E47DBF36E5B7C35E254BF93FB68373BD54AB4B0B24F51196DC3F71	R2	-0.00031898790748077717	0.025146484375	0.025146484375
M01	28	20360855.0	182B3CC4958A0B79FB94468B089CA808F4E1B0F26D55196FCA2E5EC1A3886D7A	R1	-0.00033488685786672097	0.000213623046875	0.000213623046875
M01	28	20360855.0	182B3CC4958A0B79FB94468B089CA808F4E1B0F26D55196FCA2E5EC1A3886D7A	R2	-5.14561850680936e-05	0.6162109375	0.6162109375
M01	29	20360856.0	B24C2C8C26DC3DE521233C061BA2D4BA4BCA1BA73787B71B531576FDB2D9319F	R1	-0.0001718648231085978	0.1092529296875	0.1092529296875
M01	29	20360856.0	B24C2C8C26DC3DE521233C061BA2D4BA4BCA1BA73787B71B531576FDB2D9319F	R2	-0.00019052562944242015	0.094482421875	0.094482421875
M01	30	20360857.0	2A5EBEA50F618658CE8D330055965D73FBAD0E5CBD1A99BCEFB0F903E133DF2C	R1	-0.00020275122271263076	0.116607666015625	0.116607666015625
M01	30	20360857.0	2A5EBEA50F618658CE8D330055965D73FBAD0E5CBD1A99BCEFB0F903E133DF2C	R2	-0.00018408148104065412	0.1318359375	0.1318359375
M01	31	20360858.0	40E9B03B3D902B679299028A14016D7A5A83EE084060AB8F1FD068E7C9F2F303	R1	-9.060583017247126e-05	0.245635986328125	0.245635986328125
M01	31	20360858.0	40E9B03B3D902B679299028A14016D7A5A83EE084060AB8F1FD068E7C9F2F303	R2	-0.0002965083460719768	0.048095703125	0.048095703125
M01	32	20360859.0	59E412A0B092CA8DF675272F5D04ACBB399DB4E05E43FACE5A51F19640AC479A	R1	-0.00029012771994817903	0.000274658203125	0.000274658203125
M01	32	20360859.0	59E412A0B092CA8DF675272F5D04ACBB399DB4E05E43FACE5A51F19640AC479A	R2	-0.00017162937708379018	0.140869140625	0.140869140625
M01	33	20360860.0	C588DF5555B6DBD07FFAFE3CCB52D44C667D34D804C3D29503A529ED5A338D3C	R1	-0.000343965937651066	0.006072998046875	0.006072998046875
M01	33	20360860.0	C588DF5555B6DBD07FFAFE3CCB52D44C667D34D804C3D29503A529ED5A338D3C	R2	-4.3766544980169276e-05	0.810546875	0.810546875
M01	34	20360861.0	0748DC45C78F9BC6DA6305BBE3A23D7545569B1FA2055FB776F8AB764BB54F4A	R1	-0.00022308195979031212	0.004364013671875	0.004364013671875
M01	34	20360861.0	0748DC45C78F9BC6DA6305BBE3A23D7545569B1FA2055FB776F8AB764BB54F4A	R2	-4.051079177218299e-05	0.724853515625	0.724853515625
M01	35	20360862.0	B00FABBB56F12F105ECE612D8B610473DC973562584F6BA0C801EDF4240EDEDB	R1	-0.0001766025773571768	0.002044677734375	0.002044677734375
M01	35	20360862.0	B00FABBB56F12F105ECE612D8B610473DC973562584F6BA0C801EDF4240EDEDB	R2	-0.00016318912811163163	0.308349609375	0.308349609375
M01	36	20360863.0	93B243D71E11FBBA64CF78F2F946C3804BE498C5E878AE7DCB34921B7CCE6CE8	R1	-0.0002738794559229831	0.00787353515625	0.00787353515625
M01	36	20360863.0	93B243D71E11FBBA64CF78F2F946C3804BE498C5E878AE7DCB34921B7CCE6CE8	R2	-0.00011720898536849899	0.336181640625	0.336181640625
M01	37	20360864.0	8EA191F6F381C3D56D1634A137DE576D5FAFB3121EBE88B3FC8406F18F18BBF0	R1	-0.00034828410079828967	0.000274658203125	0.000274658203125
M01	37	20360864.0	8EA191F6F381C3D56D1634A137DE576D5FAFB3121EBE88B3FC8406F18F18BBF0	R2	-0.0001378949562096128	0.162109375	0.162109375
M01	38	20360865.0	78DD835659181DE7AF47F15B0E54DD345CFB56D5B2F7FE7BFBEA72C40373F451	R1	-0.00017284099630089628	0.090179443359375	0.090179443359375
M01	38	20360865.0	78DD835659181DE7AF47F15B0E54DD345CFB56D5B2F7FE7BFBEA72C40373F451	R2	-0.00021329054861708174	0.17919921875	0.17919921875
