cell_id	seed_index	row_index	subject	run	Mpower	Mphase	n_pairs
P01	11	15	CS51	R2	0.000825493574498622	0	12
P01	11	16	CS53	R1	-0.00218540486582037	0	12
P01	11	17	CS53	R2	0.000203863908891025	0	8
P01	11	18	CS54	R1	-0.00309277086594621	0	7
P01	11	19	CS54	R2	-0.0015267289176313	0	7
P01	11	20	CS55	R1	-0.00516057199551631	0	14
P01	11	21	CS55	R2	-0.00134647342418017	0	14
P01	11	22	CS56	R1	-0.00552318826361145	0	12
P01	11	23	CS56	R2	-0.00428810461855791	0	12
P01	11	24	CS57	R1	-0.00653644183338838	0	12
P01	11	25	CS57	R2	-0.0122655192253816	0	12
P01	11	26	CS58	R1	0.00988961698361735	0	7
P01	11	27	CS60	R1	-0.00120047362471435	0	14
P01	11	28	CS62	R1	6.75748981969747e-05	0	7
P01	11	29	CS62	R2	-0.00932064205813325	0	7
P01	12	1	CS41	R1	-0.00435532515433758	0	14
P01	12	2	CS41	R2	0.00137978253395257	0	14
P01	12	3	CS42	R1	-0.000826519224785833	0	14
P01	12	4	CS42	R2	0.0100799961900266	0	14
P01	12	5	CS43	R1	-0.00727589736379545	0	14
P01	12	6	CS43	R2	0.00142754684866306	0	14
P01	12	7	CS44	R1	-0.00265040855165932	0	14
P01	12	8	CS47	R1	-0.00479214903486573	0	14
P01	12	9	CS47	R2	-0.0052420286547779	0	14
P01	12	10	CS48	R1	0.00460540983711511	0	14
P01	12	11	CS48	R2	0.00225426772558276	0	14
P01	12	12	CS49	R1	-0.00873654324759118	0	12
P01	12	13	CS49	R2	-0.00639232939424354	0	14
P01	12	14	CS51	R1	0.00121299415891061	0	14
P01	12	15	CS51	R2	-0.00360903555093826	0	12
P01	12	16	CS53	R1	0.00556040632124324	0	12
P01	12	17	CS53	R2	-0.01098802885814	0	8
P01	12	18	CS54	R1	0.0116788490953665	0	7
P01	12	19	CS54	R2	-0.00205366965245342	0	7
P01	12	20	CS55	R1	0.000389759550168753	0	14
P01	12	21	CS55	R2	-0.00254589790505029	0	14
P01	12	22	CS56	R1	-0.0112245011541161	0	12
P01	12	23	CS56	R2	-0.0024648060884162	0	12
P01	12	24	CS57	R1	-0.00142132981898273	0	12
P01	12	25	CS57	R2	0.00296469024549924	0	12
P01	12	26	CS58	R1	0.00317424103742425	0	7
P01	12	27	CS60	R1	-0.00405508164254767	0	14
P01	12	28	CS62	R1	-0.00202981382106632	0	7
P01	12	29	CS62	R2	-0.00770055996601281	0	7
P01	13	1	CS41	R1	-0.00486724524432509	0	14
P01	13	2	CS41	R2	-0.010591206234323	0	14
P01	13	3	CS42	R1	0.0050862385449704	0	14
P01	13	4	CS42	R2	0.0014095005200625	0	14
P01	13	5	CS43	R1	-0.00106115585347911	0	14
P01	13	6	CS43	R2	-0.00076889291576185	0	14
P01	13	7	CS44	R1	0.0159030510804338	0	14
P01	13	8	CS47	R1	0.00133958049219066	0	14
P01	13	9	CS47	R2	0.00402198600838123	0	14
P01	13	10	CS48	R1	-0.00170938105785567	0	14
P01	13	11	CS48	R2	-0.00101382384040854	0	14
P01	13	12	CS49	R1	-0.000180002156848942	0	12
P01	13	13	CS49	R2	-0.00122807076417796	0	14
P01	13	14	CS51	R1	0.00146871413890171	0	14
P01	13	15	CS51	R2	0.00404771095948118	0	12
P01	13	16	CS53	R1	-0.0123535475212578	0	12
P01	13	17	CS53	R2	-0.00653766539229975	0	8
P01	13	18	CS54	R1	0.00809043609143114	0	7
P01	13	19	CS54	R2	-0.0113532878493428	0	7
P01	13	20	CS55	R1	-0.00220887061945817	0	14
P01	13	21	CS55	R2	-0.00337954928587142	0	14
P01	13	22	CS56	R1	-0.000245921160413622	0	12
P01	13	23	CS56	R2	0.000329635669865399	0	12
P01	13	24	CS57	R1	0.00304700215538561	0	12
P01	13	25	CS57	R2	0.00415565921772382	0	12
P01	13	26	CS58	R1	0.00811369825868193	0	7
P01	13	27	CS60	R1	0.00263653611990323	0	14
P01	13	28	CS62	R1	0.00156792365097719	0	7
P01	13	29	CS62	R2	-0.0171731687892541	0	7
P01	14	1	CS41	R1	-0.00591424530138203	0	14
P01	14	2	CS41	R2	0.00392882126760115	0	14
P01	14	3	CS42	R1	-0.0104654383161878	0	14
P01	14	4	CS42	R2	0.00149737909645148	0	14
P01	14	5	CS43	R1	-0.00349558183559591	0	14
P01	14	6	CS43	R2	0.000162876659661346	0	14
P01	14	7	CS44	R1	0.000463554365667281	0	14
