seed_index	world_seed	mode	arm	kappa	subject	run	reducer	Mphase	n_pairs_total	n_pairs_finite	pair_corrected_skewness	pair_positive_fraction	pair_zero_count
2	22360829	benchmark	P0F	0	CS62	R2	mean	-0.000744227679339241	7	7	1.35322430384678	0.142857142857143	0
3	22360830	benchmark	P0F	0	CS41	R1	median	-0.000126102616395567	14	14	2.04237570108459	0.428571428571429	0
3	22360830	benchmark	P0F	0	CS41	R1	mean	0.000170910382399851	14	14	2.04237570108459	0.428571428571429	0
3	22360830	benchmark	P0F	0	CS41	R2	median	8.29788065424794e-05	14	14	0.0411978837712865	0.571428571428571	0
3	22360830	benchmark	P0F	0	CS41	R2	mean	6.68156580657894e-05	14	14	0.0411978837712865	0.571428571428571	0
3	22360830	benchmark	P0F	0	CS42	R1	median	-0.000214615511377578	14	14	1.17273157972003	0.428571428571429	0
3	22360830	benchmark	P0F	0	CS42	R1	mean	0.00011736344480846	14	14	1.17273157972003	0.428571428571429	0
3	22360830	benchmark	P0F	0	CS42	R2	median	-0.000456283880503531	14	14	0.684452533635506	0.357142857142857	0
3	22360830	benchmark	P0F	0	CS42	R2	mean	-0.000217344886705495	14	14	0.684452533635506	0.357142857142857	0
3	22360830	benchmark	P0F	0	CS43	R1	median	-2.60348000763993e-05	14	14	0.949364535159801	0.5	0
3	22360830	benchmark	P0F	0	CS43	R1	mean	0.000166262720373274	14	14	0.949364535159801	0.5	0
3	22360830	benchmark	P0F	0	CS43	R2	median	-0.000539887061302962	14	14	0.505643782033396	0.357142857142857	0
3	22360830	benchmark	P0F	0	CS43	R2	mean	-0.000459651306044249	14	14	0.505643782033396	0.357142857142857	0
3	22360830	benchmark	P0F	0	CS44	R1	median	-0.000205725172389183	14	14	1.28062122902991	0.357142857142857	0
3	22360830	benchmark	P0F	0	CS44	R1	mean	0.000173349087724187	14	14	1.28062122902991	0.357142857142857	0
3	22360830	benchmark	P0F	0	CS47	R1	median	-0.000300837557071798	14	14	0.335457566547368	0.285714285714286	0
3	22360830	benchmark	P0F	0	CS47	R1	mean	-0.00040936391551906	14	14	0.335457566547368	0.285714285714286	0
3	22360830	benchmark	P0F	0	CS47	R2	median	-0.000172400515701605	14	14	0.783145977991612	0.357142857142857	0
3	22360830	benchmark	P0F	0	CS47	R2	mean	-7.96996842826923e-05	14	14	0.783145977991612	0.357142857142857	0
3	22360830	benchmark	P0F	0	CS48	R1	median	-0.000504012396212773	14	14	2.47502874758423	0.214285714285714	0
3	22360830	benchmark	P0F	0	CS48	R1	mean	-0.000215198247989394	14	14	2.47502874758423	0.214285714285714	0
3	22360830	benchmark	P0F	0	CS48	R2	median	0.000410174037621355	14	14	-0.0885220459669676	0.642857142857143	0
3	22360830	benchmark	P0F	0	CS48	R2	mean	0.000279456427794953	14	14	-0.0885220459669676	0.642857142857143	0
3	22360830	benchmark	P0F	0	CS49	R1	median	-0.000469800780586585	12	12	0.695576085726842	0.416666666666667	0
3	22360830	benchmark	P0F	0	CS49	R1	mean	-0.000153743932082556	12	12	0.695576085726842	0.416666666666667	0
3	22360830	benchmark	P0F	0	CS49	R2	median	0.000343726164466447	14	14	0.134451386411996	0.571428571428571	0
3	22360830	benchmark	P0F	0	CS49	R2	mean	0.000344109510163771	14	14	0.134451386411996	0.571428571428571	0
