seed_index	world_seed	mode	arm	kappa	gain_slope_b	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	metric_stream_initial_state_hash	base_stream_state_hash	truth_a_g06_uV	truth_grid_id
7	22360834	benchmark	P0F	0	0	median	R2	13	-0.00040252325813143	0.000244140625	0.000122142959777748	0.144532685215772	0	13	0	0	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
7	22360834	benchmark	P0F	0	0	mean	R1	16	-5.31979448777001e-05	0.344757080078125	5.49037024242069e-05	0.173917929180475	7	9	0	0.4375	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
7	22360834	benchmark	P0F	0	0	mean	R2	13	-0.000275084326575361	0.0087890625	0.000111250066182292	0.606445553080035	1	12	0	0.0769230769230769	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	539102214FE07472706287CE88795030E3C3DEC486EDDE012DA5BD2DCD2914B6	4.61799281479342	G06
8	22360835	benchmark	P0F	0	0	median	R1	16	-0.000106207683596245	0.16571044921875	7.57076804072551e-05	1.04729917624426	7	9	0	0.4375	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P0F	0	0	median	R2	13	-9.03082229427782e-05	0.195068359375	6.85216604353183e-05	0.0613613606208403	5	8	0	0.384615384615385	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P0F	0	0	mean	R1	16	-4.79625076900951e-05	0.413970947265625	5.59223136657606e-05	0.555748078124399	6	10	0	0.375	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
8	22360835	benchmark	P0F	0	0	mean	R2	13	0.000103615636483652	0.103271484375	6.18205848820313e-05	0.650056217998827	8	5	0	0.615384615384615	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	09D07064250B7275F4A5FA9539F5FFE26B6A320BF06F5A4D2BDCC7696C02DC5C	4.61799281479342	G06
9	22360836	benchmark	P0F	0	0	median	R1	16	-0.000206838348749566	0.010223388671875	8.3958042648464e-05	0.456254203464895	4	12	0	0.25	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
9	22360836	benchmark	P0F	0	0	median	R2	13	-0.000266557223740566	0.006591796875	0.000107326736298177	-0.0117600825317312	2	11	0	0.153846153846154	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
9	22360836	benchmark	P0F	0	0	mean	R1	16	-4.78298743535142e-05	0.528656005859375	7.39317859462315e-05	0.0595861362008735	7	9	0	0.4375	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	F4C07DED1F511B22997DAC8CBA8BEB7A84B8E8F328F0890DF90EB002047B3B0A	4.61799281479342	G06
