opaque_id	seed_index	world_seed	checkpoint_sha256	run	observed	p_two_sided	reject_alpha_0_05	domain_fraction	elapsed_s	peak_memory_bytes
PanelMember-04	37	91500037.0	9FC7BF8FBC33C8E4198CA121D72C5C6ED1ADB4A0E39F7F21F9854E2ABB6D13BC	R1	-0.0026305115282956736	3.0517578125e-05	1	0.00880641430256223	423.3562586	3283775488.0
PanelMember-04	37	91500037.0	9FC7BF8FBC33C8E4198CA121D72C5C6ED1ADB4A0E39F7F21F9854E2ABB6D13BC	R2	-0.00253917665055979	0.000244140625	1	0.00880641430256223	423.3562586	3283775488.0
PanelMember-04	38	91500038.0	239A4115F49F86C69614E3E50CB934B2ED75C74894584DF67B7BCA4548FDD5DE	R1	-0.002686989988181915	3.0517578125e-05	1	0.00880641430256223	475.873722	3278725120.0
PanelMember-04	38	91500038.0	239A4115F49F86C69614E3E50CB934B2ED75C74894584DF67B7BCA4548FDD5DE	R2	-0.0027051727222190585	0.000244140625	1	0.00880641430256223	475.873722	3278725120.0
PanelMember-04	39	91500039.0	B4A9BE58CFE8CD1F9636EC6ADB4EB0445822770E4C769E0038AE1BD0EE0097B8	R1	-0.0027150285409957143	3.0517578125e-05	1	0.00880641430256223	420.3995178	3277385728.0
PanelMember-04	39	91500039.0	B4A9BE58CFE8CD1F9636EC6ADB4EB0445822770E4C769E0038AE1BD0EE0097B8	R2	-0.0027050686834355514	0.000244140625	1	0.00880641430256223	420.3995178	3277385728.0
PanelMember-04	40	91500040.0	69FB7F9065334CCBF728C1ED38AA6AAE8C801242A5C93668B74ACA65CD179E2F	R1	-0.003073901313068108	3.0517578125e-05	1	0.00880641430256223	401.7870116	3276529664.0
PanelMember-04	40	91500040.0	69FB7F9065334CCBF728C1ED38AA6AAE8C801242A5C93668B74ACA65CD179E2F	R2	-0.0025306095611899427	0.000244140625	1	0.00880641430256223	401.7870116	3276529664.0
PanelMember-04	41	91500041.0	5ED0E09686C4907EC1879D7A6AC6F4842745E827624D618E40135AAEA37AA743	R1	-0.0029043167699027584	3.0517578125e-05	1	0.00880641430256223	398.0839659	3276636160.0
PanelMember-04	41	91500041.0	5ED0E09686C4907EC1879D7A6AC6F4842745E827624D618E40135AAEA37AA743	R2	-0.002650770242075911	0.000244140625	1	0.00880641430256223	398.0839659	3276636160.0
PanelMember-04	42	91500042.0	65DBFCAA898924F66E4758D52D26D60090DBEC14D58A4E99859B76105A3C2CEF	R1	-0.0026287768086623096	3.0517578125e-05	1	0.00880641430256223	412.3466991	3276271616.0
PanelMember-04	42	91500042.0	65DBFCAA898924F66E4758D52D26D60090DBEC14D58A4E99859B76105A3C2CEF	R2	-0.002635566531136233	0.000244140625	1	0.00880641430256223	412.3466991	3276271616.0
PanelMember-04	43	91500043.0	A6D7B3EA4566866C41C3BEC71589AB10A40BBBA5ED64CA3BA3DBF302C89476B6	R1	-0.002847918328310047	3.0517578125e-05	1	0.00880641430256223	474.6712811	3269640192.0
PanelMember-04	43	91500043.0	A6D7B3EA4566866C41C3BEC71589AB10A40BBBA5ED64CA3BA3DBF302C89476B6	R2	-0.0028643160262879492	0.000244140625	1	0.00880641430256223	474.6712811	3269640192.0
PanelMember-04	44	91500044.0	D4F14EDD07572232798DE0A1692309309C6E6FA5BC054684ED53068CBD0C0F48	R1	-0.002424060477420699	3.0517578125e-05	1	0.00880641430256223	417.9623946	3265576960.0
PanelMember-04	44	91500044.0	D4F14EDD07572232798DE0A1692309309C6E6FA5BC054684ED53068CBD0C0F48	R2	-0.0029754555736007104	0.000244140625	1	0.00880641430256223	417.9623946	3265576960.0
