grid_id	grid_index	seed_index	seed	run	A_uV	beta_gen	true_bridge_slope	observed_slope	p_two_sided_mpower	reject_alpha_0_05	ci_theta_low	ci_theta_high	ci_noncontiguous	theta_at_truth_grid	p_at_truth_grid	truth_grid_distance	truth_in_ci	robustfit_fit_count	robustfit_iteration_limit_count	elapsed_s	peak_memory_bytes	checkpoint_filename	checkpoint_sha256	paper_contract_sha256	parent_historical_contract_sha256
G06	6	236	91206236	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0015328879687486817	0.25933837890625	0	-0.004309999999999998	0.0012500000000000011	False	0.004480000000000001	0.0006103515625	8.673617379884035e-19	False	1332264.0	39969.0	367.0877113	3151761408.0	world_g06_n236.mat	623EA11BFA75DA11F4D1D54EB3BFE67D4650768BD2597E49F29C33CB710BC8F6	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	236	91206236	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0009257800387739045	0.5068359375	0	-0.0039299999999999995	0.002100000000000001	False	0.004480000000000001	0.00244140625	8.673617379884035e-19	False	1332264.0	39969.0	367.0877113	3151761408.0	world_g06_n236.mat	623EA11BFA75DA11F4D1D54EB3BFE67D4650768BD2597E49F29C33CB710BC8F6	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	237	91206237	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0014836708502904256	0.324615478515625	0	-0.004619999999999999	0.0016700000000000013	False	0.004480000000000001	0.000244140625	8.673617379884035e-19	False	1332264.0	39857.0	366.6001978	3179130880.0	world_g06_n237.mat	64600BD2C600479E003EDC27198AB959E10A0EB8581CDE8A80E3BB3FE3013BF7	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	237	91206237	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0006232229540701791	0.60546875	0	-0.003199999999999998	0.00196	False	0.004480000000000001	0.0009765625	8.673617379884035e-19	False	1332264.0	39857.0	366.6001978	3179130880.0	world_g06_n237.mat	64600BD2C600479E003EDC27198AB959E10A0EB8581CDE8A80E3BB3FE3013BF7	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	238	91206238	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0011779850714596076	0.542144775390625	0	-0.005049999999999999	0.002530000000000001	False	0.004480000000000001	0.0008544921875	8.673617379884035e-19	False	1332264.0	40036.0	367.3917471	3179192320.0	world_g06_n238.mat	81C9FA78F8C44B102B25DB035C3A58F6409BF9C0577E17C8098713E713E342E4	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	238	91206238	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0008195039289413253	0.574951171875	0	-0.00408	0.0024300000000000016	False	0.004480000000000001	0.005615234375	8.673617379884035e-19	False	1332264.0	40036.0	367.3917471	3179192320.0	world_g06_n238.mat	81C9FA78F8C44B102B25DB035C3A58F6409BF9C0577E17C8098713E713E342E4	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	239	91206239	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.000489334917545423	0.760986328125	0	-0.0038399999999999997	0.0028300000000000027	False	0.004480000000000001	0.004608154296875	8.673617379884035e-19	False	1332264.0	39743.0	366.4236826	3179130880.0	world_g06_n239.mat	01AEEEDEA2F1A7670633FE06A69F1C979F5E7BCB9B13CAA245A447290591C3E7	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	239	91206239	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	0.0011376335811273406	0.6142578125	0	-0.0037599999999999995	0.006000000000000002	False	0.004480000000000001	0.15966796875	8.673617379884035e-19	True	1332264.0	39743.0	366.4236826	3179130880.0	world_g06_n239.mat	01AEEEDEA2F1A7670633FE06A69F1C979F5E7BCB9B13CAA245A447290591C3E7	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	240	91206240	R1	4.61799281479342	27.5382038226563	0.0044800000000000005	-7.710035757690535e-05	0.96649169921875	0	-0.003969999999999998	0.00383	False	0.004480000000000001	0.02655029296875	8.673617379884035e-19	False	1332264.0	39999.0	366.3971095	3179122688.0	world_g06_n240.mat	3B12E2577A583EC9DBA97B5BA5CACDD6229B9D0BEA8A68B57DB441A373324A82	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
G06	6	240	91206240	R2	4.61799281479342	27.5382038226563	0.0044800000000000005	-0.0010139285172568774	0.400146484375	0	-0.0036199999999999982	0.0015800000000000015	False	0.004480000000000001	0.00146484375	8.673617379884035e-19	False	1332264.0	39999.0	366.3971095	3179122688.0	world_g06_n240.mat	3B12E2577A583EC9DBA97B5BA5CACDD6229B9D0BEA8A68B57DB441A373324A82	59B22764181C475D824B3847F1FC4F2E3EA726C62618AB02D8691B028031CC55	AE9B0EEE540CC07AA3D3FE45D445B0C71815E95D7D461C6AB615903532705D09
