arm	run	seed_index	Mpower_subject_mean	Mphase_subject_mean	Mpower_reject	Mphase_reject
Mphase_0p5	R2	25	-0.00166980099489344	-0.000380542227485741	0	1
Mphase_0p5	R1	26	0.00227771301696553	-0.000350430391276973	0	1
Mphase_0p5	R2	26	-0.00500293216957051	1.38820284755997e-05	1	0
Mphase_0p5	R1	27	0.00132128307196564	-0.000327409866377013	0	0
Mphase_0p5	R2	27	0.000499341775461349	-0.000322238424829339	0	1
Mphase_0p5	R1	28	0.00318027229745634	-0.000383683111081661	0	1
Mphase_0p5	R2	28	-0.00233647191020891	-0.000460344877369465	0	1
Mphase_0p5	R1	29	0.00260883815851584	-0.000250180963938108	0	0
Mphase_0p5	R2	29	2.51889656642477e-05	1.31216285645287e-05	0	0
Mphase_0p5	R1	30	-0.00273681831596945	-0.000302825942123692	0	0
Mphase_0p5	R2	30	-0.00198742280692182	-0.000344894571473733	0	0
Mphase_0p5	R1	31	-0.00409686979527541	-0.000239160206762583	0	1
Mphase_0p5	R2	31	0.00082872645616073	-0.000186601342454673	0	0
Mphase_0p5	R1	32	-0.00137123452999598	-0.000387141940511117	0	0
Mphase_0p5	R2	32	0.000126882520063563	-0.000409964138482223	0	1
Mphase_0p5	R1	33	-0.000146313441002059	-0.000414482827871278	0	1
Mphase_0p5	R2	33	-0.0024815150907542	-9.19286112824924e-05	0	0
Mphase_0p5	R1	34	-0.00148032956507572	-0.000236305531801043	0	0
Mphase_0p5	R2	34	-0.000462974425545382	-0.000438558648006993	0	1
Mphase_0p5	R1	35	-0.000492155779831644	-0.000348895099614399	0	1
Mphase_0p5	R2	35	-0.000966496312740409	-0.000420558017912148	0	1
Mphase_0p5	R1	36	-0.00212086894290497	-0.000518861488178979	0	1
Mphase_0p5	R2	36	-0.000525708609030603	-2.53976167294508e-05	0	0
Mphase_0p5	R1	37	-0.00129042350322654	-0.000228646713564034	0	0
Mphase_0p5	R2	37	0.00296306467086754	-0.000343917078727524	0	0
Mphase_0p5	R1	38	-0.00249774298012408	-0.00033489444652185	0	1
Mphase_0p5	R2	38	-0.00099855082410397	-0.000237172369720491	0	0
Mphase_0p5	R1	39	-0.00309026463681371	-0.000307379556626754	0	1
Mphase_0p5	R2	39	-0.00335884681827957	-0.000108956122372499	0	0
Mphase_0p5	R1	40	-7.32620711107089e-05	-0.000440374385349825	0	1
Mphase_0p5	R2	40	-0.00118817209507193	-0.000288660307009429	0	0
Mphase_0p5	R1	41	-0.00183954025322999	-0.000205995375463444	0	0
Mphase_0p5	R2	41	0.00069015484787737	-0.000228779570287876	0	0
Mphase_0p5	R1	42	0.000255621310158932	-0.000504568925357752	0	1
Mphase_0p5	R2	42	-0.00147976025272594	-0.000428403670196057	0	1
Mphase_0p5	R1	43	-0.00265102955787317	-0.000215662403409375	0	1
Mphase_0p5	R2	43	-0.00259405907000053	-0.00039728848918933	0	0
Mphase_0p5	R1	44	0.00095497187871205	-0.000385898499627204	0	1
Mphase_0p5	R2	44	-0.00565958416923516	-0.000275921265135467	1	0
Mphase_0p5	R1	45	-0.00145251039440126	-0.000454522294421107	0	1
Mphase_0p5	R2	45	-0.00210385499745809	-0.00026424916255645	0	0
Mphase_0p5	R1	46	-0.00122993005534072	-0.000238224993409747	0	0
Mphase_0p5	R2	46	-0.00237111138012206	-0.000103194317152802	0	0
Mphase_0p5	R1	47	0.00246193604595963	-0.000322095639079217	0	0
Mphase_0p5	R2	47	-0.000277488090872683	-0.000117455181852231	0	0
Mphase_0p5	R1	48	-0.000547910175438587	-0.000367929719919031	0	1
Mphase_0p5	R2	48	-0.00123274117898815	-8.16624548983732e-05	0	0
Mphase_0p5	R1	49	0.000559327217595969	-8.04576600877397e-05	0	0
Mphase_0p5	R2	49	0.000442235568603132	-0.000385469649582293	0	1
Mphase_0p5	R1	50	0.00330532572723692	-0.000283550280648806	0	0
