seed_index	world_seed	run_kind	arm	J_contract	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	effective_contract_sha256	background_world_sha256
5	20860832	formal	J32_reference	32	mean	R1	16	9.28714586296304e-05	0.222076416015625	7.45114313523662e-05	-0.922784148057848	10	6	0	0.625	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	22912B0BC43289610902C0D013D52A5B61456203E4AB1A6B503FFB91CBECB893
5	20860832	formal	J32_reference	32	mean	R2	13	1.35470862459797e-05	0.865478515625	7.69793983161498e-05	0.0545958576196065	6	7	0	0.461538461538462	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	22912B0BC43289610902C0D013D52A5B61456203E4AB1A6B503FFB91CBECB893
5	20860832	formal	J256_high	256	median	R1	16	-0.000152368284415593	0.061981201171875	8.23066246677442e-05	-0.0446677861166499	5	11	0	0.3125	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	22912B0BC43289610902C0D013D52A5B61456203E4AB1A6B503FFB91CBECB893
5	20860832	formal	J256_high	256	median	R2	13	-0.000137642014403477	0.1689453125	9.83847783498278e-05	1.15024517284699	3	10	0	0.230769230769231	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	22912B0BC43289610902C0D013D52A5B61456203E4AB1A6B503FFB91CBECB893
5	20860832	formal	J256_high	256	mean	R1	16	8.4699149834984e-05	0.2569580078125	7.30512733671803e-05	-1.00536068525025	10	6	0	0.625	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	22912B0BC43289610902C0D013D52A5B61456203E4AB1A6B503FFB91CBECB893
5	20860832	formal	J256_high	256	mean	R2	13	-1.1113945588858e-05	0.892333984375	7.73614377846315e-05	0.0564556705690139	5	8	0	0.384615384615385	275133FAE62F2EB964E144A58425FA1382B899D2F6D04F086FB853D60FFB0A83	22912B0BC43289610902C0D013D52A5B61456203E4AB1A6B503FFB91CBECB893
6	20860833	formal	J32_reference	32	median	R1	16	-0.000117899119457975	0.28564453125	0.000108182419343276	0.43086310174328	4	12	0	0.25	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	8BE7798DC34278804678108AECED93A8F8846F24C8976EC4ACB4A912FCEAA426
6	20860833	formal	J32_reference	32	median	R2	13	-5.69594070799531e-05	0.620849609375	0.000105808001264678	1.56269296766066	3	10	0	0.230769230769231	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	8BE7798DC34278804678108AECED93A8F8846F24C8976EC4ACB4A912FCEAA426
6	20860833	formal	J32_reference	32	mean	R1	16	-3.01809034218756e-05	0.714752197265625	7.75183134557625e-05	-0.0138289770699605	7	9	0	0.4375	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	8BE7798DC34278804678108AECED93A8F8846F24C8976EC4ACB4A912FCEAA426
6	20860833	formal	J32_reference	32	mean	R2	13	0.000109903802928542	0.4013671875	0.000118922456316	1.22482077701012	7	6	0	0.538461538461538	28563C57C011C9FFC6068703FB96F9770274DF2EF7E790469BD70EF541A2B444	8BE7798DC34278804678108AECED93A8F8846F24C8976EC4ACB4A912FCEAA426
