seed_index	world_seed	mode	arm	kappa	reducer	run	n_subjects	observed	p_two_sided	studentization_sd	subject_statistic_skewness	n_positive	n_negative	n_zero	positive_fraction	metric_stream_initial_state_hash	base_stream_state_hash	truth_a_g06_uV	truth_grid_id
4	22360831	benchmark	P0	0	mean	R1	16	-0.000169183149941579	0.0889892578125	9.88646230501201e-05	-0.501648075278947	5	11	0	0.3125	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	4.61799281479342	G06
4	22360831	benchmark	P0	0	mean	R2	13	-0.000117209688515525	0.175048828125	8.53250223360354e-05	1.06930637344114	3	10	0	0.230769230769231	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	4.61799281479342	G06
4	22360831	benchmark	P4	4	median	R1	16	-0.00717329697628461	3.0517578125e-05	0.00200686625297786	-0.518088017345979	0	16	0	0	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	4.61799281479342	G06
4	22360831	benchmark	P4	4	median	R2	13	-0.00600369196932868	0.000244140625	0.00184913012110782	-0.367459198038465	0	13	0	0	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	4.61799281479342	G06
4	22360831	benchmark	P4	4	mean	R1	16	-0.00740905878837611	3.0517578125e-05	0.00206392775308185	-0.401019983676525	0	16	0	0	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	4.61799281479342	G06
4	22360831	benchmark	P4	4	mean	R2	13	-0.00631974412290365	0.000244140625	0.00190072731397005	-0.043667834348591	0	13	0	0	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	B27389AB579C75F1B0F8AF911D40B1CF2F0416DDEF9AC86AF55FDF5FF7068547	4.61799281479342	G06
5	22360832	benchmark	P0	0	median	R1	16	-0.00013113026287954	0.118804931640625	8.35510569363441e-05	0.508259626433059	4	12	0	0.25	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P0	0	median	R2	13	-0.000257485006921234	0.01025390625	0.000105676100219124	0.0470133533304926	3	10	0	0.230769230769231	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P0	0	mean	R1	16	-5.3042897962214e-05	0.376678466796875	5.81994437847043e-05	-0.231995788239458	6	10	0	0.375	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P0	0	mean	R2	13	-3.84440852547593e-05	0.6826171875	9.09264303774372e-05	0.13898514110533	5	8	0	0.384615384615385	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P4	4	median	R1	16	-0.00597785924188256	3.0517578125e-05	0.00167104153423749	-0.921175305416951	0	16	0	0	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P4	4	median	R2	13	-0.00593173276024848	0.000244140625	0.00182658745605743	-0.185851195927162	0	13	0	0	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P4	4	mean	R1	16	-0.00676093511041157	3.0517578125e-05	0.0018536671690151	-0.691637901641006	0	16	0	0	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
5	22360832	benchmark	P4	4	mean	R2	13	-0.00567302403442839	0.000244140625	0.0017515889770731	0.240561917811071	0	13	0	0	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	62B13690F309AB22973987F862D22F9C67241E7EA05E2082AE559352D359EE1A	4.61799281479342	G06
6	22360833	benchmark	P0	0	median	R1	16	-0.000281946324583823	0.004486083984375	0.000106230112987207	0.219559660676099	3	13	0	0.1875	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
6	22360833	benchmark	P0	0	median	R2	13	-0.000126122427655597	0.107421875	7.71560271922928e-05	-0.171978317125681	3	10	0	0.230769230769231	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
6	22360833	benchmark	P0	0	mean	R1	16	-0.000148537859760886	0.05914306640625	7.91656499183494e-05	0.370241582255075	6	10	0	0.375	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
6	22360833	benchmark	P0	0	mean	R2	13	-5.99841422747522e-05	0.432373046875	7.27002545115627e-05	0.42827697323245	4	9	0	0.307692307692308	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
6	22360833	benchmark	P4	4	median	R1	16	-0.00679567429259799	3.0517578125e-05	0.00201245532994689	-2.37880409987435	0	16	0	0	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	B4438C9B50744487B1FCA45E12C2FF731DDFC16E69E69744B1E9DECCDF4B8F27	4.61799281479342	G06
