seed_index	arm	observed_ppc_mean	surrogate_ppc_mean	frac_pairs_negative	n_pairs
42	P4	0.024015976228355683	0.0312359460247581	0.9401709401709402	351
43	P0	4.1727045414854225e-05	4.023677502633201e-05	0.6068376068376068	351
43	P4	0.022651710514610377	0.029878664840082197	0.9401709401709402	351
44	P0	6.930527797164795e-05	4.8284004268361496e-05	0.5327635327635327	351
44	P4	0.029808172475789912	0.039290322443705596	0.9658119658119658	351
45	P0	-2.6976232688205862e-05	8.741084273930642e-05	0.6381766381766382	351
45	P4	0.025114793314646302	0.032913374728084754	0.9259259259259259	351
46	P0	-7.22664973389412e-05	1.4927389906416886e-05	0.603988603988604	351
46	P4	0.026401620720211197	0.03443623518747431	0.9373219373219374	351
47	P0	5.4180196155572315e-05	8.00073524682038e-05	0.5698005698005698	351
47	P4	0.02186683039787025	0.02867453804169502	0.9373219373219374	351
48	P0	-6.119445899410642e-05	3.785509556829743e-05	0.584045584045584	351
48	P4	0.024923563971734983	0.03312040639023671	0.9316239316239316	351
49	P0	-7.114409547625556e-05	1.9375647120387254e-05	0.603988603988604	351
49	P4	0.027167340330308383	0.03532995596847063	0.9401709401709402	351
50	P0	-7.767105274334258e-05	5.9990549493028675e-05	0.5897435897435898	351
50	P4	0.02058247773330377	0.02730246609925553	0.9088319088319088	351
51	P0	-0.00020852015493821521	-1.4082019502136122e-06	0.6837606837606838	351
51	P4	0.028538373698887412	0.03761592892534102	0.9572649572649573	351
52	P0	-2.8194436173333235e-05	7.456085321277568e-05	0.6210826210826211	351
52	P4	0.026801925972771222	0.035528373081533914	0.9601139601139601	351
53	P0	-4.9879750962157694e-05	3.8106748647779394e-05	0.6096866096866097	351
53	P4	0.02943699164177647	0.038760949930424296	0.9401709401709402	351
54	P0	8.909713162229141e-05	9.670728788810786e-05	0.5669515669515669	351
54	P4	0.024467936375027054	0.0318007688970244	0.9401709401709402	351
55	P0	1.6519664815766703e-05	5.9101956247721e-05	0.5897435897435898	351
55	P4	0.02249593445079149	0.029844597201692673	0.9487179487179487	351
56	P0	-0.00011700640813489923	5.909934765277004e-05	0.6153846153846154	351
56	P4	0.02967867587364981	0.03909224291893825	0.9629629629629629	351
